Date,NUM_USERS,TOTAL_USD_VOLUMES,TOTAL_FEES,TOTAL_TRANSACTIONS
2022/10/11,139,9899131.453,6916.500439,1086
2022/10/12,154,4933868.676,5736.360538,858
2022/10/13,365,24258871.33,13435.40768,2861
2022/10/14,261,14206041.92,8409.007496,2150
2022/10/15,251,9945068.224,11798.36953,2209
2022/10/16,224,9663669.798,9174.612166,2317
2022/10/17,210,10858555.56,9285.832182,1800
2022/10/18,179,11308729.15,8416.623856,1675
2022/10/19,203,8343192.08,8493.192344,1445
2022/10/20,198,7704207.662,8815.558648,1205
2022/10/21,171,10810023.89,7908.111096,1178
2022/10/22,198,7801533.085,10184.87769,1263
2022/10/23,314,8113861.057,4540.095363,1205
2022/10/24,288,10910452.22,5475.516747,1282
2022/10/25,341,19455401.17,12135.60408,1672
2022/10/26,336,19014733.47,9180.755929,1923
2022/10/27,338,26958748.99,10605.07089,2537
2022/10/28,203,15362096.54,7746.553214,1718
2022/10/29,302,29688385.4,17982.15556,3012
2022/10/30,309,19445449.01,8413.880338,3219
2022/10/31,258,23537189.98,9763.643204,2260
2022/11/1,230,14750452.83,6860.501413,1677
2022/11/2,261,22717126.25,7699.538873,1999
2022/11/3,227,10681054.91,5306.312648,1217
2022/11/4,321,15732970.43,7991.997284,1644
2022/11/5,254,12485962.89,4951.621645,1436
2022/11/6,231,9471402.936,3788.679815,1128
2022/11/7,194,13843581.94,4614.049239,1192
2022/11/8,325,59655600.88,36569.19543,2906
2022/11/9,335,67903547.79,36477.53804,4049
2022/11/10,169,31672683.9,18789.35518,2237
2022/11/11,147,22982870.56,10772.99002,1793
2022/11/12,185,20415599.49,15788.93814,1416
2022/11/13,159,19023089.27,12277.2347,1561
2022/11/14,139,16075443.5,5908.599279,1513
2022/11/15,103,8271612.046,3416.993447,904
2022/11/16,141,12611994.53,7467.072859,1854
2022/11/17,185,9390661.747,6006.803637,1613
2022/11/18,179,4380102.488,14769.89735,913
2022/11/19,137,3438671.01,1812.803001,748
2022/11/20,198,8732898.664,6245.836056,1704
2022/11/21,235,15279611.4,6279.284901,2428
2022/11/22,211,10913057.3,5021.201193,1997
2022/11/23,165,6754313.127,3370.516737,1339
2022/11/24,147,5230461.871,2952.746215,1123
2022/11/25,181,7327596.185,3700.769582,1742
2022/11/26,192,9490176.632,2963.530782,1429
2022/11/27,184,6954112.021,2685.221043,1209
2022/11/28,213,13736679.19,5507.462809,1801
2022/11/29,204,8660616.737,3457.925509,1411
2022/11/30,210,14618433.02,7453.542258,2300
2022/12/1,237,12239880.43,4483.209336,1490
2022/12/2,211,9604304.121,2906.943978,1127
2022/12/3,170,7409030.182,2849.281177,1096
2022/12/4,170,5599484.843,2400.80916,844
2022/12/5,201,8843671.242,4768.328044,1363
2022/12/6,218,5833071.588,3177.601013,1038
2022/12/7,687,11291898.65,6167.090272,1710
2022/12/8,561,4892349.075,4156.986126,1288
2022/12/9,269,5739361.863,3832.762161,737
2022/12/10,326,3996423.648,2685.670588,815
2022/12/11,503,3265572.96,3375.158363,913
