Date,USD_VOLUMES,FEES,TOTAL_TRANSACTIONS
2022/10/11,1701577653.5,1767393.2891,192734
2022/10/12,1487256231.9,1254974.2951000002,174971
2022/10/13,4522435157.0,1623105.9054,200140
2022/10/14,4064979746.0,1226872.8431,179072
2022/10/15,1763640462.5,1047005.8160999999,170906
2022/10/16,1754664703.0,1080312.1916,192929
2022/10/17,3387510899.0,2246821.875,268945
2022/10/18,2816403543.0,2041170.3309,251728
2022/10/19,1948395836.6,2116945.205,238272
2022/10/20,1863377829.1,2557853.9699999997,231764
2022/10/21,1794397788.4,2142642.645,214605
2022/10/22,1444003295.3000002,1153103.2828000002,169147
2022/10/23,2402149277.0,1040920.2479,198949
2022/10/24,3650132632.0,1322689.7107,189087
2022/10/25,5390698437.0,1948145.831,212525
2022/10/26,6183071524.0,1807291.3950999998,216632
2022/10/27,4764488614.0,1460441.2951,197497
2022/10/28,5158923658.0,1974274.8828,257412
2022/10/29,6406260205.0,1977879.6392,282280
2022/10/30,4530826844.0,1097250.8198,238231
2022/10/31,4879497731.0,2538958.528,242399
2022/11/1,4697251216.0,1847807.4311,259125
2022/11/2,5976406480.0,2017993.0550000002,251728
2022/11/3,3272697075.0,2076065.711,234054
2022/11/4,5570615412.0,2272254.268,246199
2022/11/5,3353137566.0,1384984.2526,215247
2022/11/6,2783607370.0,1361325.87,212374
2022/11/7,5117618055.0,1863749.1579,218567
2022/11/8,8967736987.0,5889562.791999999,274321
2022/11/9,9026957011.0,5126801.427999999,263635
2022/11/10,7627373837.0,3768337.308,252066
2022/11/11,4981027918.0,2356196.836,211469
2022/11/12,5519068975.0,1279793.9788,172163
2022/11/13,3734220501.0,1315829.4908,185264
2022/11/14,4928015844.0,1601594.2065,209036
2022/11/15,3859702468.0,1593539.5917,215999
2022/11/16,2551287792.0,1380814.6538,211458
2022/11/17,3182690265.0,1052928.3935,176576
2022/11/18,1675083434.1999998,1095976.4283,167416
2022/11/19,1345277308.2,648923.9665,142476
2022/11/20,2363455022.0,881310.3859999999,177088
2022/11/21,3913498267.0,1050844.6099999999,180888
2022/11/22,4020612411.0,1110710.1230000001,173068
2022/11/23,4741751809.0,779692.6108,152944
2022/11/24,4869400823.0,729777.5501,140522
2022/11/25,4908624375.0,584879.1841,138075
2022/11/26,3854672462.0,599148.7617,141739
2022/11/27,3289017286.0,510828.148,133230
2022/11/28,3845919550.0,850837.0434999999,155763
2022/11/29,3416260938.0,736088.8558,164156
2022/11/30,5181152394.0,987476.6993,180473
2022/12/1,3038099190.0,800191.3958,155315
2022/12/2,3266337410.0,727139.1124,142621
2022/12/3,2448239943.0,557987.2472999999,132173
2022/12/4,2112327266.0,571600.1569000001,130686
2022/12/5,3335930534.0,887090.2649999999,159799
2022/12/6,3120024250.0,784209.9364,151498
2022/12/7,3048382673.0,800788.8285000001,145054
2022/12/8,3729400284.0,897599.4657000001,154356
2022/12/9,2656749572.0,1100574.6384,126697
2022/12/10,1732106383.3,671066.4873,123634
2022/12/11,2324910181.0,693203.5486999999,122364
