Date,USD_VOLUMES,FEES,TOTAL_TRANSACTIONS
2022/10/11,1230659532,10605.78406,1353
2022/10/12,1152033499,6496.363214,1328
2022/10/13,3160832855,19795.42517,3620
2022/10/14,2718094160,12593.71613,2864
2022/10/15,1633592422,8346.377404,1691
2022/10/16,1206996221,11982.39131,2637
2022/10/17,2204855344,11098.16519,2080
2022/10/18,1724833720,11770.79487,1953
2022/10/19,1103223612,11376.25833,1757
2022/10/20,1028858730,10961.86891,1562
2022/10/21,1155963250,11935.05031,1598
2022/10/22,1818393051,10816.497,1715
2022/10/23,1999412988,7581.903374,1925
2022/10/24,2061188463,10509.38459,2069
2022/10/25,3234494848,23826.39532,3115
2022/10/26,3841069972,22238.73476,3834
2022/10/27,4000317872,13601.87014,2795
2022/10/28,3074269339,13418.91725,2503
2022/10/29,5064385783,24238.35076,4559
2022/10/30,4772267660,10908.18835,3472
2022/10/31,4203777230,15506.8204,2968
2022/11/1,2767178848,10577.16775,2492
2022/11/2,3883059341,13823.87187,2674
2022/11/3,2700307357,8562.08842,1508
2022/11/4,3608104182,14160.03886,2215
2022/11/5,3277646571,8058.477514,1914
2022/11/6,2686382820,7162.488256,1835
2022/11/7,2730910065,8970.951483,1732
2022/11/8,4199713506,58749.01111,3892
2022/11/9,2561978090,58269.97972,4991
2022/11/10,676562001.5,25030.30918,2709
2022/11/11,784397347.6,13074.10581,2234
2022/11/12,803364607,10322.49935,1852
2022/11/13,780603036.9,16354.70295,2027
2022/11/14,837419386.8,8413.118575,1909
2022/11/15,633502612.4,6170.083412,1151
2022/11/16,391609494.8,7145.439932,1573
2022/11/17,214976052.8,5787.888842,1458
2022/11/18,140622515.7,4036.857594,1251
2022/11/19,38215874.84,2639.610114,913
2022/11/20,105191521.8,5331.752644,1550
2022/11/21,627372868.6,6227.959002,2231
2022/11/22,1096931261,8286.333878,2117
2022/11/23,1114284714,5233.148636,1593
2022/11/24,1961552523,6180.020966,1874
2022/11/25,3202916674,7043.956752,2272
2022/11/26,3009549268,6748.111989,2460
2022/11/27,2478341030,5048.005947,1846
2022/11/28,2806237517,7414.849933,2200
2022/11/29,1733538828,6867.096877,2414
2022/11/30,3724806467,13589.02588,3337
2022/12/1,2242199800,6292.404525,1928
2022/12/2,1670078256,5830.136704,1751
2022/12/3,1914719911,5189.291744,1429
2022/12/4,913284287.9,4322.304846,1381
2022/12/5,1549076477,7766.406829,1756
2022/12/6,1222874781,5538.56474,1349
2022/12/7,1686730575,7192.973024,1648
2022/12/8,2048676824,8132.470061,1920
2022/12/9,1420074719,6346.870024,1069
2022/12/10,1555828724,4531.425504,1168
2022/12/11,1213605212,4770.016414,1194
