DATE,USD_VOLUMES,FEES,TOTAL_TRANSACTIONS
2022-10-11 00:00:00.000,854179428.262621,899104.796184288,96467
2022-10-12 00:00:00.000,753219524.405674,650889.836846346,89402
2022-10-13 00:00:00.000,2258731501.66775,825047.487122699,99822
2022-10-14 00:00:00.000,2037980636.00659,635730.016438355,90635
2022-10-15 00:00:00.000,871682450.19511,531799.113697588,84312
2022-10-16 00:00:00.000,892407865.622192,571139.146128783,99751
2022-10-17 00:00:00.000,1686932780.00963,1139495.33843029,135416
2022-10-18 00:00:00.000,1397849766.60072,1061161.66464418,129569
2022-10-19 00:00:00.000,974505299.864225,1087634.14321897,123074
2022-10-20 00:00:00.000,929280158.895526,1317904.10552515,122478
2022-10-21 00:00:00.000,915324552.695825,1127656.8134861,113943
2022-10-22 00:00:00.000,728283392.567911,603738.252379316,87749
2022-10-23 00:00:00.000,1221949842.43312,558034.390466638,105003
2022-10-24 00:00:00.000,1820376556.02195,699707.517260298,99630
2022-10-25 00:00:00.000,2724527241.03869,1034674.69262473,111811
2022-10-26 00:00:00.000,3152513475.95697,959862.211047753,114050
2022-10-27 00:00:00.000,2373301914.38013,756025.868873978,101317
2022-10-28 00:00:00.000,2587615612.37988,1026066.63071467,127589
2022-10-29 00:00:00.000,3220910668.37611,1042328.50259689,141773
2022-10-30 00:00:00.000,2259622015.54954,578283.838418735,118455
2022-10-31 00:00:00.000,2427143394.13871,1305304.24609995,120507
2022-11-01 00:00:00.000,2357668488.35708,959281.866076611,129231
2022-11-02 00:00:00.000,2954330766.13956,1051441.87418784,124943
2022-11-03 00:00:00.000,1642527917.89625,1068709.0720554,116010
2022-11-04 00:00:00.000,2834952715.68179,1209358.55797997,123209
2022-11-05 00:00:00.000,1660589877.46632,716198.073482954,107041
2022-11-06 00:00:00.000,1374458896.48997,708682.95631084,105843
2022-11-07 00:00:00.000,2565502772.94936,965211.642086874,108890
2022-11-08 00:00:00.000,4418984973.7243,2980388.03431684,135319
2022-11-09 00:00:00.000,4484664226.37842,2629978.8614828,130356
2022-11-10 00:00:00.000,3877574929.69687,2013763.29007194,125551
2022-11-11 00:00:00.000,2517909858.99687,1222978.81926736,106141
2022-11-12 00:00:00.000,2727444423.69763,649516.914919978,85328
2022-11-13 00:00:00.000,1863213514.22212,688864.55101836,91903
2022-11-14 00:00:00.000,2455511301.24846,837895.161726701,103500
2022-11-15 00:00:00.000,1878087231.92153,818031.762282424,106571
2022-11-16 00:00:00.000,1258355206.89936,722925.908081847,104300
2022-11-17 00:00:00.000,1572213122.44651,543192.787558536,89199
2022-11-18 00:00:00.000,847521270.840683,553773.510662932,85130
2022-11-19 00:00:00.000,672162310.729601,334702.139654784,72094
2022-11-20 00:00:00.000,1150690515.18578,454614.924913743,88863
2022-11-21 00:00:00.000,1938524670.03421,574299.44024773,90410
2022-11-22 00:00:00.000,2004922792.50328,593983.932713793,87194
2022-11-23 00:00:00.000,2376553856.29631,405838.514609661,77372
2022-11-24 00:00:00.000,2435820614.18953,389980.159350428,72365
2022-11-25 00:00:00.000,2449397586.78766,301362.793420224,69874
2022-11-26 00:00:00.000,1926651770.52134,313797.568764476,71794
2022-11-27 00:00:00.000,1635867773.23141,262364.785386704,67268
2022-11-28 00:00:00.000,1912785450.95447,439294.845528342,78700
2022-11-29 00:00:00.000,1728249322.65053,392813.077703171,84536
2022-11-30 00:00:00.000,2602212804.06107,525189.229401396,92316
2022-12-01 00:00:00.000,1514463167.40866,418925.511827827,78857
2022-12-02 00:00:00.000,1643649183.16686,386365.055796757,73019
2022-12-03 00:00:00.000,1198420124.56877,280351.687005714,66876
2022-12-04 00:00:00.000,1069241303.24183,307735.765690497,67030
2022-12-05 00:00:00.000,1651335294.46288,451452.086437133,81303
2022-12-06 00:00:00.000,1570573476.82076,412068.985770497,78291
2022-12-07 00:00:00.000,1502901468.26303,421503.547517686,74622
2022-12-08 00:00:00.000,1882734502.00636,480013.678986699,80182
2022-12-09 00:00:00.000,1316421224.17724,552442.492804749,64523
2022-12-10 00:00:00.000,869700946.967035,343477.746795909,63403
2022-12-11 00:00:00.000,1162038740.87066,357255.841820988,63502
﻿
