Date,TOTAL_VOLUME,TOTAL_FEES,TOTAL_TRANSACTIONS
2022/10/11,854179428.3,899104.7962,96467
2022/10/12,753219524.4,650889.8368,89402
2022/10/13,2258731502,825047.4871,99822
2022/10/14,2037980636,635730.0164,90635
2022/10/15,871682450.2,531799.1137,84312
2022/10/16,892407865.6,571139.1461,99751
2022/10/17,1686932780,1139495.338,135416
2022/10/18,1397849767,1061161.665,129569
2022/10/19,974505299.9,1087634.143,123074
2022/10/20,929280158.9,1317904.106,122478
2022/10/21,915324552.7,1127656.813,113943
2022/10/22,728283392.6,603738.2524,87749
2022/10/23,1221949842,558034.3905,105003
2022/10/24,1820376556,699707.5173,99630
2022/10/25,2724527241,1034674.693,111811
2022/10/26,3152513476,959862.211,114050
2022/10/27,2373301914,756025.8689,101317
2022/10/28,2587615612,1026066.631,127589
2022/10/29,3220910668,1042328.503,141773
2022/10/30,2259622016,578283.8384,118455
2022/10/31,2427143394,1305304.246,120507
2022/11/1,2357668488,959281.8661,129231
2022/11/2,2954330766,1051441.874,124943
2022/11/3,1642527918,1068709.072,116010
2022/11/4,2834952716,1209358.558,123209
2022/11/5,1660589877,716198.0735,107041
2022/11/6,1374458896,708682.9563,105843
2022/11/7,2565502773,965211.6421,108890
2022/11/8,4418984974,2980388.034,135319
2022/11/9,4484664226,2629978.861,130356
2022/11/10,3877574930,2013763.29,125551
2022/11/11,2517909859,1222978.819,106141
2022/11/12,2727444424,649516.9149,85328
2022/11/13,1863213514,688864.551,91903
2022/11/14,2455511301,837895.1617,103500
2022/11/15,1878087232,818031.7623,106571
2022/11/16,1258355207,722925.9081,104300
2022/11/17,1572213122,543192.7876,89199
2022/11/18,847521270.8,553773.5107,85130
2022/11/19,672162310.7,334702.1397,72094
2022/11/20,1150690515,454614.9249,88863
2022/11/21,1938524670,574299.4402,90410
2022/11/22,2004922793,593983.9327,87194
2022/11/23,2376553856,405838.5146,77372
2022/11/24,2435820614,389980.1594,72365
2022/11/25,2449397587,301362.7934,69874
2022/11/26,1926651771,313797.5688,71794
2022/11/27,1635867773,262364.7854,67268
2022/11/28,1912785451,439294.8455,78700
2022/11/29,1728249323,392813.0777,84536
2022/11/30,2602212804,525189.2294,92316
2022/12/1,1514463167,418925.5118,78857
2022/12/2,1643649183,386365.0558,73019
2022/12/3,1198420125,280351.687,66876
2022/12/4,1069241303,307735.7657,67030
2022/12/5,1651335294,451452.0864,81303
2022/12/6,1570573477,412068.9858,78291
2022/12/7,1502901468,421503.5475,74622
2022/12/8,1882734502,480013.679,80182
2022/12/9,1316421224,552442.4928,64523
2022/12/10,869700947,343477.7468,63403
2022/12/11,1162038741,357255.8418,63502
