Date,NUM_USERS,TOTAL_USD_VOLUMES,TOTAL_FEES,TOTAL_TRANSACTIONS
2022/10/11,148,449986401.6,7430.838899,976
2022/10/12,202,423429397.2,4472.620627,985
2022/10/13,349,1178587314,13829.15791,2830
2022/10/14,257,1184277390,8892.571753,2220
2022/10/15,225,503408676.2,6461.361843,1341
2022/10/16,229,519606723.2,10165.1138,2270
2022/10/17,265,1051765485,7707.579394,1610
2022/10/18,237,775113769.6,8201.966903,1522
2022/10/19,230,419537624.2,8041.090826,1300
2022/10/20,195,472568538.5,7488.07672,1147
2022/10/21,211,255450107,7962.046097,1186
2022/10/22,250,402626618.3,8359.967285,1353
2022/10/23,320,761898481.8,5253.851824,1446
2022/10/24,377,1132978584,6578.286494,1453
2022/10/25,555,1146039620,15789.01825,2257
2022/10/26,433,1437257901,15037.11105,2805
2022/10/27,358,1212148973,8757.299199,2040
2022/10/28,323,1283880917,8283.172562,1771
2022/10/29,448,2058616420,18222.90062,3487
2022/10/30,349,1435048552,7956.218158,2713
2022/10/31,293,1393132554,9608.992732,2149
2022/11/1,254,1340321216,6347.913489,1786
2022/11/2,283,1451366087,7467.054727,1850
2022/11/3,277,639963887.9,4907.906551,1017
2022/11/4,385,966666317.9,8038.806478,1526
2022/11/5,328,820835079.7,4855.076305,1332
2022/11/6,248,585718691.9,3709.182652,1170
2022/11/7,244,1191012800,4539.187472,1160
2022/11/8,377,1394791831,34423.97691,2770
2022/11/9,272,788733966.6,33173.36042,3521
2022/11/10,201,351176186.1,15312.94897,1838
2022/11/11,170,268029616.3,8160.142726,1549
2022/11/12,150,467973982.5,3932.219568,973
2022/11/13,123,470940936.1,8234.173986,1291
2022/11/14,206,478344721.3,4697.616073,1309
2022/11/15,141,378819100.6,2605.61349,662
2022/11/16,139,227754060.8,4136.44306,1103
2022/11/17,161,95787208.16,3594.933035,1045
2022/11/18,185,79167948.25,2256.687013,890
2022/11/19,173,29400347.09,1782.428754,707
2022/11/20,180,37244668.48,3859.227699,1140
2022/11/21,207,389763066.4,4273.743346,1697
2022/11/22,202,651155007.9,4305.54705,1446
2022/11/23,216,805016367.1,3106.327275,1149
2022/11/24,263,1077375583,3597.215111,1330
2022/11/25,276,1185531716,3468.822284,1465
2022/11/26,266,1270425299,3497.571343,1613
2022/11/27,246,1007346174,2725.245904,1175
2022/11/28,227,1139589460,3853.109977,1428
2022/11/29,229,853449867.8,3850.270163,1660
2022/11/30,382,1398030031,7492.841305,2365
2022/12/1,228,895616406.5,3686.892191,1363
2022/12/2,242,902553437.3,3216.686624,1202
2022/12/3,217,718676862,2753.364034,981
2022/12/4,198,558829192,2758.212262,1010
2022/12/5,247,781527477.8,4176.436555,1222
2022/12/6,265,574568318.6,3146.231264,926
2022/12/7,544,911056350.2,4694.615451,1204
2022/12/8,599,952019337.3,5236.434825,1442
2022/12/9,282,589311365.5,4005.930034,709
2022/12/10,288,360703011.5,2610.846142,723
2022/12/11,415,555929538.5,3187.516749,879
